5	92	460	
3	88	264	
4	83	332	
1.5	73	109.5	
1	81	81	
1.5	78	117	
2	90	180	
1	88	88	
2	91	182	
2	90	180	
4.5	87	391.5	
2	87	174	
3	97	291	
3	87	261	
1.5	87	130.5	
3	90	270	
2	82	164	
2.5	86	215	
3	90	270	
0.5	85	42.5	
2	88	176	
3.5	88	308	
2.5	80	200	
2	94	188	
2	76	152	
1	70	70	
2	84	168	
2	85	170	
2.5	84	210	
1	90	90	
2	88	176	
2.5	87	217.5	
3	92	276	
3	87	261	
3	90	270	
3	86	258	
2.5	92	230	
2	67	134
2	72	144	
1	84	84	
2	84	168	
3	90	270	
3	88	264	
2.5	88	220	
2.5	80	200	
2	93	186	
2	78	156	
0.5	81	40.5	
2	89	178	
2	86	172	
2.5	87	217.5	
2	89	178	
2.5	90	225	
3	89	267	
2	94	188	
2	94	188	
2	90	180	
2	85	170	
2	82	164	
2.5	90	225	
2.5	80	200	
2	78	156	
2	86	172	
2	86	172	
2.5	78	195	
2.5	91	227.5	
2	86	172	
2	90	180	
2	93	186	
2	93	186	
2.5	88	220	
2	84	168
